# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 525 516
p 2 0 886 170 3015 1207
b 3 0 1056 0 381 380
b 3 0 1056 0 461 443
p 2 0 751 305 2152 1115
b 3 0 1056 0 457 455
b 3 0 1056 0 520 517
p 2 0 842 214 3062 1182
b 3 0 1056 0 413 409
b 3 0 1056 0 742 453
p 2 0 748 308 2622 1096
b 3 0 1056 0 829 538
b 3 0 1056 0 554 525
p 2 0 886 170 3234 1172
b 3 0 1056 0 638 398
b 3 0 1056 0 855 450
p 2 0 857 199 2707 1184
b 3 0 1056 0 608 499
b 3 0 1056 0 496 486
p 2 0 722 334 2501 1071
b 3 0 1056 0 685 457
b 3 0 1056 0 898 470
p 2 0 785 271 2465 1138
b 3 0 1056 0 577 531
b 3 0 1056 0 567 540
p 2 0 896 160 3567 1223
b 3 0 1056 0 742 413
b 3 0 1056 0 907 476
p 2 0 834 222 2827 1158
b 3 0 1056 0 521 512
b 3 0 1056 0 572 564
p 2 0 837 219 2989 1159
b 3 0 1056 0 690 415
b 3 0 1056 0 718 432
p 2 0 881 175 2781 1168
b 3 0 1056 0 519 498
b 3 0 1056 0 575 506
p 2 0 892 164 3464 1215
b 3 0 1056 0 617 402
b 3 0 1056 0 524 420
p 2 0 825 231 2784 1170
b 3 0 1056 0 477 458
b 3 0 1056 0 797 602
p 2 0 805 251 2867 1155
b 3 0 1056 0 483 441
b 3 0 1056 0 434 429
p 2 0 750 306 2566 1116
b 3 0 1056 0 554 531
b 3 0 1056 0 691 560
p 2 0 854 202 2734 1167
b 3 0 1056 0 396 396
b 3 0 1056 0 466 459
p 2 0 723 333 2500 1093
b 3 0 1056 0 433 429
b 3 0 1056 0 487 479
p 2 0 865 191 2551 1181
b 3 0 1056 0 375 374
b 3 0 1056 0 421 421
p 2 0 740 316 2201 1091
b 3 0 1056 0 462 460
b 3 0 1056 0 495 491
p 2 0 887 169 3038 1219
b 3 0 1056 0 418 413
b 3 0 1056 0 390 389
p 2 0 865 191 2594 1180
b 3 0 1056 0 446 443
b 3 0 1056 0 460 457
p 2 0 746 310 2198 1099
b 3 0 1056 0 391 388
b 3 0 1056 0 453 443
p 2 0 702 354 2218 1084
b 3 0 1056 0 428 416
b 3 0 1056 0 440 435
p 2 0 954 102 2952 1224
b 3 0 1056 0 426 402
b 3 0 1056 0 438 406
p 2 0 663 393 2271 1091
b 3 0 1056 0 485 460
b 3 0 1056 0 478 459
p 2 0 828 228 2913 1159
