PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
1,0,1,29,1,7,0,9,6,0,8,9640,11,0,8,12,0,8,17891,5,0,10,3,0,12,8953,122
1,0,1,29,1,0,0,0,0,0,0,2031,10,0,2,9,0,1,13766,8,0,1,8,0,1,11328,121
1,0,1,29,1,4,0,1,5,0,1,5453,5,2,4,6,2,5,12078,1,0,0,2,0,0,4672,212
1,0,1,29,1,6,0,3,6,0,3,10609,3,0,2,3,0,2,7657,5,0,3,5,0,3,10343,221
1,0,1,29,1,7,2,2,7,2,2,10359,5,1,2,4,1,2,10360,3,1,1,3,1,1,8843,303
1,0,1,29,1,6,2,6,6,2,6,13859,5,0,3,4,0,4,10422,4,1,1,4,1,1,11297,203
0,1,0,29,0,20,6,28,19,6,25,22844,6,0,16,5,0,16,10875,8,0,17,8,0,17,13672,122
0,1,0,29,0,0,1,1,0,1,1,2141,4,1,8,4,1,6,9594,4,1,1,4,1,0,8703,121
0,1,0,29,0,4,0,5,4,0,4,6500,5,0,6,5,0,8,9000,4,0,6,4,0,4,9750,212
0,1,0,29,0,4,1,1,4,1,1,6157,5,1,7,5,1,6,10953,4,1,3,4,1,4,8875,221
0,1,0,29,0,4,1,3,4,1,4,5672,8,3,5,6,3,5,17078,4,0,6,4,0,7,8125,303
0,1,0,29,0,4,1,4,3,1,4,6313,1,0,1,1,0,1,4703,4,0,3,4,0,3,11641,203
0,0,0,26,1,1,0,1,1,0,1,4843,5,0,0,5,0,0,9782,6,0,5,6,0,4,14546,122
0,0,0,26,1,1,0,3,1,0,3,11219,2,0,2,2,0,2,8796,11,3,9,11,3,9,22860,121
0,0,0,26,1,8,2,9,8,1,9,21547,5,2,6,5,2,6,19531,7,1,9,6,1,8,16547,212
0,0,0,26,1,20,2,17,19,2,16,34578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,0,26,1,33,8,16,31,8,16,39921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
0,0,0,26,1,16,1,17,13,1,14,23968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,0,1,28,1,22,5,28,20,5,29,27891,4,0,5,4,0,5,9750,4,0,7,4,0,6,9625,122
0,0,1,28,1,4,0,10,3,0,9,7672,5,0,4,5,0,4,10656,5,2,4,4,2,4,12844,121
0,0,1,28,1,23,2,27,21,2,27,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
0,0,1,28,1,11,1,6,11,1,7,14703,5,0,0,5,0,0,8375,4,0,10,4,0,8,9625,221
0,0,1,28,1,10,4,8,9,4,9,17500,4,2,8,4,2,9,11922,5,1,3,5,1,3,10906,303
0,0,1,28,1,14,3,9,13,3,8,26688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,0,1,28,1,9,2,4,9,2,4,15937,16,6,22,14,6,21,31204,0,0,0,0,0,0,0,412
0,0,1,28,1,17,2,23,15,2,25,28469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,1,28,1,10,1,9,10,1,8,19843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
0,0,1,28,1,4,0,1,4,0,1,7125,8,0,3,8,0,3,13375,14,0,3,13,0,3,19297,4
